player,age,pos,team,years_left,salary_m,proj_vorp,surplus
Derrick White,31,SG,BOS,3,30.3,3.52,2.5
Carter Bryant,20,PF,SAS,3,5.1,-0.21,2.5
Anthony Black,22,PG,ORL,1,10.1,0.52,2.5
Ben Sheppard,24,SG,IND,1,5,-0.27,2.1
Derrick Jones Jr.,28,SF,LAC,1,10.5,0.49,1.9
Kelly Oubre Jr.,30,SF,PHI,2,8.1,0.13,1.9
Micah Peavy,24,SG,NOP,3,2.2,-0.74,1.8
Max Christie,22,SG,DAL,2,8.3,0.15,1.7
Luka Dončić,26,PG,LAL,3,49.8,6.26,1.7
Spencer Jones,24,SF,DEN,2,6,-0.21,1.6
Sidy Cissoko,21,SF,POR,1,2.5,-0.74,1.5
Duncan Robinson,31,SG,DET,2,16,1.21,1.2
Moses Moody,23,SG,GSW,2,12.5,0.66,1
Buddy Hield,33,SG,2TM,2,9.7,0.21,0.8
Santi Aldama,25,PF,MEM,2,17,1.27,0.6
Devin Carter,23,PG,SAC,1,7.6,-0.12,0.6
Zeke Nnaji,25,PF,DEN,2,7.5,-0.15,0.5
Ousmane Dieng,22,C,2TM,3,5.8,-0.41,0.5
Taylor Hendricks,22,PF,2TM,1,7.8,-0.12,0.4
Bobby Portis,30,PF,MIL,2,14.5,0.84,0.2
Tidjane Salaün,20,PF,CHO,2,8.2,-0.09,0.2
Jarace Walker,22,PF,IND,1,8.5,-0.07,0.1
Jock Landale,30,C,2TM,1,14.1,0.75,-0
Alex Sarr,20,C,WAS,2,12.4,0.48,-0.1
Jonathan Isaac,28,PF,ORL,1,10.4,0.18,-0.2
Grayson Allen,30,SG,PHO,2,18.1,1.3,-0.3
Miles Bridges,27,PF,CHO,1,22.8,1.97,-0.4
Khris Middleton,34,SF,2TM,3,5.6,-0.57,-0.4
Bennedict Mathurin,23,SF,2TM,2,7.8,-0.26,-0.5
Ron Holland,20,SF,DET,2,9.1,-0.08,-0.6
Tari Eason,24,PF,HOU,5,14.1,0.64,-0.7
Walter Clayton,22,PG,2TM,3,4.2,-0.82,-0.8
Alperen Şengün,23,C,HOU,4,35.6,3.81,-0.8
Gradey Dick,22,SG,TOR,1,7.1,-0.4,-0.8
Tyrese Maxey,25,PG,PHI,3,40.8,4.55,-0.9
Keldon Johnson,26,SF,SAS,1,17.5,1.11,-0.9
Noah Clowney,21,PF,BRK,1,5.4,-0.68,-1
Daniel Gafford,27,C,DAL,3,17.3,1.06,-1.1
Davion Mitchell,27,PG,MIA,1,12.4,0.34,-1.1
Isaiah Stewart,24,C,DET,2,15,0.72,-1.1
Jaden Hardy,23,SG,2TM,2,6,-0.63,-1.3
Jeremiah Fears,19,PG,NOP,3,7.9,-0.38,-1.4
Dyson Daniels,22,SG,ATL,4,25,2.15,-1.4
Grant Williams,27,PF,CHO,1,14.3,0.54,-1.5
Trey Murphy III,25,SF,NOP,3,27,2.42,-1.6
Quentin Grimes,25,SG,PHI,4,14,0.49,-1.6
Will Riley,19,SF,WAS,3,3.7,-1.04,-1.7
Josh Giddey,23,PG,CHI,3,25,2.11,-1.7
Bilal Coulibaly,21,SG,WAS,1,9.2,-0.22,-1.7
Caleb Martin,30,SF,DAL,2,10,-0.11,-1.7
Caris LeVert,31,SG,DET,1,14.8,0.59,-1.8
Steven Adams,32,C,HOU,2,13,0.32,-1.8
Norman Powell,32,SG,MIA,2,21.5,1.56,-1.9
Ayo Dosunmu,26,SG,2TM,5,19.3,1.19,-2.2
John Collins,28,PF,LAC,3,17,0.84,-2.3
Jarred Vanderbilt,26,PF,LAL,2,12.4,0.16,-2.3
Tre Mann,24,PG,CHO,2,8,-0.49,-2.3
Ben Saraf,19,SG,BRK,3,3,-1.23,-2.4
Isaiah Hartenstein,27,C,OKC,3,23.1,1.7,-2.6
Jordan Hawkins,23,SG,NOP,1,7,-0.68,-2.6
Alex Caruso,31,SG,OKC,3,19.6,1.15,-2.7
Jakob Poeltl,30,C,TOR,4,19.5,1.09,-3.1
Toumani Camara,25,PF,POR,4,18.1,0.84,-3.3
Naz Reid,26,C,MIN,4,23.3,1.57,-3.6
Drake Powell,20,SG,BRK,3,3.5,-1.34,-3.6
Nique Clifford,23,SG,SAC,3,3.3,-1.39,-3.6
Aaron Nesmith,26,SF,IND,3,11,-0.26,-3.7
Ivica Zubac,28,C,2TM,2,20.3,1.1,-3.9
Wendell Carter Jr.,26,C,ORL,3,18.1,0.74,-4
Kristaps Porziņģis,30,C,2TM,2,19.5,0.95,-4
Kevin Durant,37,SF,HOU,2,43.9,4.49,-4.4
Rui Hachimura,27,PF,LAL,2,14,0.08,-4.4
Scoot Henderson,21,PG,POR,1,13.6,-0.04,-4.8
Nic Claxton,26,C,BRK,2,23.1,1.35,-4.9
Dorian Finney-Smith,32,PF,HOU,3,13.3,-0.11,-5
Nolan Traoré,19,PG,BRK,3,4,-1.52,-5.3
A.J. Green,26,SG,MIL,4,10,-0.63,-5.3
Jarrett Allen,27,C,CLE,3,28,1.98,-5.5
Jalen Brunson,29,PG,NYK,3,37.7,3.39,-5.8
Scottie Barnes,24,PF,TOR,4,41.8,3.97,-5.8
Corey Kispert,26,SF,2TM,3,14,-0.14,-5.9
Josh Green,25,SG,CHO,1,14.7,-0.04,-5.9
Rob Dillingham,21,PG,2TM,2,6.9,-1.19,-5.9
CJ McCollum,34,PG,2TM,1,21,0.84,-6.3
Bub Carrington,20,PG,WAS,2,4.9,-1.54,-6.3
Dennis Schröder,32,PG,2TM,2,14.8,-0.09,-6.4
