rk,player,age,team,pos,g,mp,bpm,vorp,key,salary,salary_m,band
152,Jordan Goodwin,27,PHO,PG,70,1572,1.8,1.5,jordan goodwin,5864198,5.864198,$5-15M
153,Jrue Holiday,35,POR,PG,53,1560,1.9,1.6,jrue holiday,34800000,34.8,Over $30M
154,Dylan Harper,19,SAS,SG,69,1558,1.4,1.3,dylan harper,12989040,12.98904,$5-15M
155,Ron Holland,20,DET,SF,78,1551,-2,0,ron holland,9069600,9.0696,$5-15M
156,Tari Eason,24,HOU,PF,60,1549,-1.6,0.2,tari eason,14051724,14.051724,$5-15M
157,Kevin Huerter,27,2TM,SF,69,1549,-0.6,0.6,kevin huerter,8333333,8.333333,$5-15M
158,Moses Moody,23,GSW,SG,60,1540,-0.1,0.7,moses moody,12500000,12.5,$5-15M
159,Terance Mann,29,BRK,SG,63,1529,-3.4,-0.6,terance mann,15500000,15.5,$15-30M
160,Jarrett Allen,27,CLE,C,56,1519,2.6,1.8,jarrett allen,28000000,28,$15-30M
161,Isaiah Collier,21,UTA,PG,59,1517,-2.4,-0.2,isaiah collier,2763960,2.76396,Under $5M
162,Isaiah Joe,26,OKC,SG,71,1507,2.5,1.7,isaiah joe,11323006,11.323006,$5-15M
163,Jock Landale,30,2TM,C,68,1506,-0.1,0.7,jock landale,14100000,14.1,$5-15M
164,Zaccharie Risacher,20,ATL,SF,67,1503,-2.5,-0.2,zaccharie risacher,13826040,13.82604,$5-15M
165,Klay Thompson,35,DAL,SF,69,1497,-1.4,0.2,klay thompson,23060317,23.060317,$15-30M
166,Ryan Kalkbrenner,24,CHO,C,69,1479,1.8,1.4,ryan kalkbrenner,2411090,2.41109,Under $5M
167,Keon Ellis,26,2TM,SG,72,1478,-0.5,0.6,keon ellis,8780488,8.780488,$5-15M
168,Ja'Kobe Walter,21,TOR,SG,72,1474,-0.3,0.6,jakobe walter,3811800,3.8118,Under $5M
169,Patrick Williams,24,CHI,PF,72,1474,-4.5,-0.9,patrick williams,18000000,18,$15-30M
170,Ajay Mitchell,23,OKC,SG,57,1473,1.9,1.4,ajay mitchell,2850000,2.85,Under $5M
171,Shaedon Sharpe,22,POR,SG,50,1471,-1.4,0.2,shaedon sharpe,20089287,20.089287,$15-30M
172,Bilal Coulibaly,21,WAS,SG,56,1468,-2.1,-0.1,bilal coulibaly,9240012,9.240012,$5-15M
173,Grayson Allen,30,PHO,SG,51,1467,2.1,1.5,grayson allen,18125000,18.125,$15-30M
174,Brandon Williams,26,DAL,PG,66,1463,0.4,0.9,brandon williams,2449421,2.449421,Under $5M
175,Daniss Jenkins,24,DET,PG,72,1455,-0.7,0.5,daniss jenkins,4000000,4,Under $5M
176,Jaren Jackson Jr.,26,2TM,C,48,1454,-0.6,0.5,jaren jackson,49000000,49,Over $30M
