player,team,salary,guaranteed,years_left,player_key
DeAndre Jordan,NOP,3876529,7946884,2,deandre jordan
De'Anthony Melton,GSW,5477000,5477000,2,deanthony melton
Dejounte Murray,NOP,32785071,32785071,2,dejounte murray
DeMar DeRozan,DEN,2449421,2449421,1,demar derozan
Deni Avdija,POR,13125000,25000000,2,deni avdija
Dennis Schröder,CHO,14809200,14809200,2,dennis schroder
Dereck Lively II,DAL,7239131,7239131,1,dereck lively
Derik Queen,NOP,5416080,5416080,3,derik queen
Derrick Jones Jr.,LAC,10476190,10476190,1,derrick jones
Derrick White,BOS,30348000,62944000,3,derrick white
Desmond Bane,ORL,39446090,126499530,3,desmond bane
Devin Booker,PHO,57078728,182159872,4,devin booker
Devin Carter,ATL,7607501,5158080,1,devin carter
Devin Vassell,SAS,27000000,78652174,3,devin vassell
Didi Louzada,POR,268032,804096,3,didi louzada
Dillon Brooks,PHO,19992727,92992726,4,dillon brooks
Dillon Jones,PHI,2449421,NA,1,dillon jones
Domantas Sabonis,SAC,45472000,94080000,2,domantas sabonis
Dominick Barlow,PHI,3415000,3415000,1,dominick barlow
Donovan Clingan,POR,7519920,7519920,2,donovan clingan
Donovan Mitchell,CLE,50105628,247460184,5,donovan mitchell
Donte DiVincenzo,MIN,12535000,12535000,1,donte divincenzo
Dorian Finney-Smith,CHO,13335000,26670000,3,dorian finney smith
Drake Powell,BRK,3540600,3540600,3,drake powell
Draymond Green,GSW,27678571,27678571,1,draymond green
Drew Eubanks,NYK,2449421,NA,1,drew eubanks
Dru Smith,MIA,2584539,NA,2,dru smith
Duncan Robinson,DET,15992957,NA,2,duncan robinson
Dylan Harper,SAS,12989040,12989040,3,dylan harper
Dyson Daniels,ATL,25000000,100000000,4,dyson daniels
Ebuka Okorie,DET,4481280,9186720,4,ebuka okorie
Egor Dëmin,BRK,7233720,7233720,3,egor demin
E.J. Liddell,PHO,706898,706898,1,ej liddell
Emanuel Sharp,SAC,1357763,3652133,3,emanuel sharp
Evan Mobley,CLE,50105628,222691680,4,evan mobley
Franz Wagner,ORL,41754690,185576400,4,franz wagner
Fred VanVleet,HOU,25000000,25000000,1,fred vanvleet
Gary Harris,DET,3815861,3815861,1,gary harris
Gary Payton II,GSW,2449421,2449421,1,gary payton
Gary Trent Jr.,MIL,15200000,64000000,4,gary trent
Georges Niang,GSW,2449421,NA,1,georges niang
GG Jackson II,MEM,2406205,2406205,1,gg jackson
Giannis Antetokounmpo,MIA,58456566,58456566,2,giannis antetokounmpo
Goga Bitadze,ORL,7608696,7608696,1,goga bitadze
Gradey Dick,LAC,7131511,7131511,1,gradey dick
Grant Williams,CHO,14265750,14265750,1,grant williams
Grayson Allen,CHO,18125000,18125000,2,grayson allen
Gui Santos,GSW,4629630,9629630,3,gui santos
Hannes Steinbach,CHO,5227200,10715760,4,hannes steinbach
Harrison Barnes,SAS,8000000,8000000,1,harrison barnes
Harrison Ingram,UTA,2449421,2449421,1,harrison ingram
Haywood Highsmith,PHO,3449421,1000000,1,haywood highsmith
Henri Veesaar,ATL,1357763,3652133,4,henri veesaar
Herbert Jones,NOP,14898786,58284050,4,herbert jones
Hugo González,BOS,2923560,2923560,3,hugo gonzalez
Immanuel Quickley,TOR,32500000,97500000,3,immanuel quickley
Isaac Okoro,CHI,11814814,11814814,1,isaac okoro
Isaiah Collier,UTA,2763960,2763960,2,isaiah collier
Isaiah Crawford,HOU,2449421,5113822,2,isaiah crawford
Isaiah Evans,MIN,1357763,6346496,4,isaiah evans
Isaiah Hartenstein,OKC,23148148,48148148,3,isaiah hartenstein
Isaiah Jackson,LAC,7000000,13400000,2,isaiah jackson
Isaiah Joe,DET,11323006,11323006,2,isaiah joe
Isaiah Stewart,MEM,15000000,15000000,2,isaiah stewart
Ivica Zubac,IND,20342140,42132440,2,ivica zubac
Ja Morant,POR,42166510,87053440,2,ja morant
Jabari Smith Jr.,HOU,23643411,122000000,5,jabari smith
Jabari Walker,PHI,2584539,NA,1,jabari walker
Jaden Hardy,LAL,6000000,6000000,2,jaden hardy
Jaden McDaniels,MIN,26200001,84020689,3,jaden mcdaniels
Jae'Sean Tate,HOU,2449421,2449421,1,jaesean tate
Jaime Jaquez Jr.,MIL,5939141,5939141,1,jaime jaquez
Jake LaRavia,LAL,6000000,6000000,1,jake laravia
Jakob Poeltl,TOR,19500000,76284000,4,jakob poeltl
Ja'Kobe Walter,TOR,3811800,3811800,2,jakobe walter
Jalen Brunson,NYK,37739521,78274562,3,jalen brunson
Jalen Green,PHO,36251166,36251166,2,jalen green
Jalen Johnson,ATL,30000000,120000000,4,jalen johnson
Jalen Smith,CHI,9428571,9428571,1,jalen smith
Jalen Suggs,ORL,32400000,88800000,4,jalen suggs
Jalen Williams,OKC,41500000,240700000,5,jalen williams
Jamal Cain,ORL,2584539,2584539,1,jamal cain
Jamal Murray,DEN,50105628,161451468,3,jamal murray
Jamal Shead,TOR,2296271,2296271,1,jamal shead
Jamaree Bouyea,PHO,2584539,2584539,1,jamaree bouyea
Jameer Nelson Jr.,PHI,1357763,NA,1,jameer nelson
James Harden,CLE,30647619,62827619,3,james harden
James Wiseman,NYK,2449421,NA,1,james wiseman
Jamison Battle,TOR,2296271,NA,1,jamison battle
Jarace Walker,IND,8478542,8478542,1,jarace walker
Jared McCain,OKC,4422600,4422600,2,jared mccain
Jaren Jackson Jr.,UTA,49000000,151500000,4,jaren jackson
Jarred Vanderbilt,LAL,12428571,12428571,2,jarred vanderbilt
Jarrett Allen,CLE,28000000,90720000,3,jarrett allen
Jase Richardson,ORL,3132360,3132360,3,jase richardson
JaVale McGee,DAL,2208856,4417712,2,javale mcgee
Javonte Green,DET,3943679,3943679,1,javonte green
Jaxson Hayes,UTA,6000000,6000000,2,jaxson hayes
Jay Huff,IND,2667944,NA,2,jay huff
Jayden Quaintance,SAS,3902760,8000640,4,jayden quaintance
Jaylen Brown,PHI,57078728,183045576,3,jaylen brown
Jaylen Clark,MIN,3086420,10000000,3,jaylen clark
Jaylen Wells,MEM,2296271,NA,2,jaylen wells
Jaylin Williams,OKC,7774648,7774648,2,jaylin williams
Jaylon Tyson,CLE,3658560,3658560,2,jaylon tyson
Jayson Tatum,BOS,58456566,188360046,4,jayson tatum
JD Davison,ORL,2625627,NA,1,jd davison
Jerami Grant,MEM,34206898,34206898,2,jerami grant
Jeremiah Fears,NOP,7896240,7896240,3,jeremiah fears
Jeremy Sochan,POR,2449421,2449421,1,jeremy sochan
Jericho Sims,MIL,2801346,2801346,1,jericho sims
Jevon Carter,ORL,2449421,2449421,1,jevon carter
Jimmy Butler,GSW,56832773,56832773,1,jimmy butler
Joan Beringer,MIN,4411200,4411200,3,joan beringer
Jock Landale,ATL,14100000,14100000,1,jock landale
Joel Embiid,PHI,58100000,120848000,3,joel embiid
John Butler,MIL,2449421,NA,1,john butler
John Collins,DET,17000000,17000000,3,john collins
John Konchar,NYK,4504421,NA,3,john konchar
Johni Broome,LAC,2150917,2150917,3,johni broome
Johnny Furphy,IND,2296271,2296271,2,johnny furphy
Jonathan Isaac,ORL,10449421,10449421,1,jonathan isaac
Jonathan Kuminga,MIN,6064000,6064000,2,jonathan kuminga
Jordan Clarkson,NYK,2449421,2449421,1,jordan clarkson
Jordan Goodwin,PHO,5864198,12197531,3,jordan goodwin
Jordan Hawkins,MEM,7021895,7021895,1,jordan hawkins
Jordan McLaughlin,SAS,2449421,2449421,1,jordan mclaughlin
Jordan Miller,LAC,5300000,5300000,3,jordan miller
Jordan Poole,NOP,34044642,34044642,1,jordan poole
Jordan Walsh,BOS,2406205,17406205,4,jordan walsh
Jose Alvarado,NYK,4500000,14580000,3,jose alvarado
Josh Giddey,CHI,25000000,75000000,3,josh giddey
Josh Green,UTA,14679012,14679012,1,josh green
Josh Hart,NYK,20923760,20923760,2,josh hart
Josh Minott,BRK,4500000,4500000,2,josh minott
Josh Okogie,UTA,6000000,6000000,2,josh okogie
Joshua Jefferson,BRK,2969520,6088080,4,joshua jefferson
Jrue Holiday,POR,34800000,34800000,2,jrue holiday
Julian Champagnie,SAS,13888889,45000000,3,julian champagnie
Julian Phillips,HOU,2537526,2537526,1,julian phillips
Julian Strawther,DEN,4826931,4826931,1,julian strawther
Julius Randle,BRK,33333334,33333334,2,julius randle
Justin Champagnie,WAS,2667944,2667944,2,justin champagnie
Justin Edwards,PHI,2411090,2411090,2,justin edwards
Jusuf Nurkić,UTA,10576923,22000000,2,jusuf nurkic
J'Vonne Hadley,MIA,1357763,NA,1,jvonne hadley
Karim López,MEM,3746760,7681080,4,karim lopez
Karl-Anthony Towns,NYK,57078728,57078728,2,karl anthony towns
Karlo Matković,NOP,2296271,2296271,1,karlo matkovic
Kasparas Jakučionis,MIL,3841680,3841680,3,kasparas jakucionis
Kawhi Leonard,TOR,50300000,50300000,1,kawhi leonard
Keaton Wagler,LAC,9674760,19833000,4,keaton wagler
Keegan Murray,SAC,24137936,140000000,5,keegan murray
Keldon Johnson,SAS,17500000,17500000,1,keldon johnson
Kel'el Ware,MIL,4654920,4654920,2,kelel ware
Kelly Oubre Jr.,IND,8050000,16500000,2,kelly oubre
Kenrich Williams,OKC,5000000,5000000,1,kenrich williams
Kentavious Caldwell-Pope,MEM,20194392,17744971,1,kentavious caldwell pope
Keon Ellis,BRK,8780488,8780488,2,keon ellis
Kevin Durant,HOU,43902439,43902439,2,kevin durant
Kevin Huerter,DET,8333333,27000000,3,kevin huerter
Kevin Porter Jr.,MIL,5390700,5390700,1,kevin porter
Kevon Looney,LAL,2449421,2449421,1,kevon looney
Keyonte George,UTA,6563925,6563925,1,keyonte george
Khalifa Diop,CLE,1357763,1357763,4,khalifa diop
Khaman Maluach,PHO,6316680,6316680,3,khaman maluach
Khris Middleton,WAS,5591122,6499000,3,khris middleton
Kingston Flemings,ATL,7348680,15064800,4,kingston flemings
Klay Thompson,DAL,23060317,17460317,2,klay thompson
Koa Peat,PHO,2926800,5999880,4,koa peat
Kobe Bufkin,NOP,2449421,2449421,1,kobe bufkin
Kobe Sanders,LAC,2622139,5375385,4,kobe sanders
Kon Knueppel,CHO,10516560,10516560,3,kon knueppel
Kris Dunn,LAC,5684800,NA,1,kris dunn
Kris Murray,MEM,5315004,5315004,1,kris murray
Kristaps Porziņģis,GSW,19512195,19512195,2,kristaps porzingis
Kyle Anderson,TOR,2449421,2449421,1,kyle anderson
Kyle Filipowski,UTA,3000000,NA,2,kyle filipowski
Kyle Kuzma,MIL,20345152,20345152,1,kyle kuzma
Kyrie Irving,DAL,39491282,39491282,2,kyrie irving
Kyshawn George,WAS,3108000,3108000,2,kyshawn george
Labaron Philon Jr.,PHI,3597120,7373880,4,labaron philon
LaMelo Ball,MIN,40770520,130746840,3,lamelo ball
Landry Shamet,NYK,5357143,24000000,4,landry shamet
Larry Nance Jr.,IND,2449421,2449421,1,larry nance
Lauri Markkanen,UTA,46113154,149474044,3,lauri markkanen
LeBron James,PHI,3876529,3876529,2,lebron james
Leonard Miller,CHI,2406205,2406205,1,leonard miller
Liam McNeeley,CHO,2902080,2902080,3,liam mcneeley
Lonnie Walker IV,DEN,3286399,NA,1,lonnie walker
Luguentz Dort,ATL,18222222,18222222,1,luguentz dort
Luka Dončić,LAL,49800000,103584000,3,luka doncic
Luka Garza,BOS,2801346,2801346,1,luka garza
Luke Kennard,PHO,6064000,6064000,2,luke kennard
Luke Kornet,SAS,10450000,13000000,3,luke kornet
Malachi Smith,TOR,2185116,NA,1,malachi smith
Malaki Branham,ORL,2537526,NA,1,malaki branham
Malik Monk,SAC,20190035,20190035,2,malik monk
Mamadi Diakite,MEM,464050,464050,1,mamadi diakite
Marcus Sasser,DAL,5198983,5198983,1,marcus sasser
Marcus Smart,HOU,6064000,6064000,2,marcus smart
Mario Hezonja,CLE,2449421,2449421,1,mario hezonja
Mark Williams,PHO,11728395,38000000,3,mark williams
Marvin Bagley III,DEN,2449421,2449421,1,marvin bagley
Matas Buzelis,CHI,5715360,5715360,2,matas buzelis
Matisse Thybulle,LAL,2449421,2449421,1,matisse thybulle
Max Christie,DAL,8285714,8285714,2,max christie
Max Strus,LAC,16660836,16660836,1,max strus
Maxime Raynaud,SAC,2150917,2150917,2,maxime raynaud
Meleek Thomas,CLE,1357763,6346496,4,meleek thomas
Micah Peavy,MEM,2150917,2150917,3,micah peavy
Micah Potter,POR,2801346,2801346,1,micah potter
Michael Porter Jr.,BRK,40806150,12000000,1,michael porter
Mikal Bridges,NYK,33482145,108482144,4,mikal bridges
Mike Conley,BOS,2449421,2449421,1,mike conley
Mikel Brown Jr.,BRK,8787000,18013440,4,mikel brown
Miles Bridges,PHO,22826087,22826087,1,miles bridges
Miles McBride,NYK,3956523,3956523,1,miles mcbride
Milos Uzan,BOS,1357763,NA,1,milos uzan
Mitchell Robinson,BOS,15044000,47388600,3,mitchell robinson
Mo Bamba,UTA,3286399,6968390,2,mo bamba
Mohamed Diawara,NYK,2232143,10000000,4,mohamed diawara
Morez Johnson Jr.,DAL,6754800,13847880,4,morez johnson
Moritz Wagner,BRK,9268293,9268293,2,moritz wagner
Moses Moody,GSW,12500000,25925925,2,moses moody
Mouhamed Gueye,ATL,2406205,2406205,1,mouhamed gueye
Moussa Cisse,DAL,2185116,2185116,2,moussa cisse
Moussa Diabaté,CHO,2461462,NA,1,moussa diabate
Myles Turner,MIL,26584164,54434241,3,myles turner
Myron Gardner,MIA,2150917,NA,2,myron gardner
Nae'Qwan Tomlin,CLE,2411090,2411090,1,naeqwan tomlin
Naji Marshall,DAL,9428571,61286031,4,naji marshall
Nassir Little,PHO,3107143,9321429,3,nassir little
Nate Ament,MIL,5502000,11279280,4,nate ament
Nate Bittle,TOR,1357763,NA,1,nate bittle
Naz Reid,CHO,23275862,75000000,4,naz reid
Neemias Queta,BOS,2667944,58667944,5,neemias queta
Nic Claxton,CHI,23147727,44090911,2,nic claxton
Nick Richards,MIA,2449421,2449421,1,nick richards
Nickeil Alexander-Walker,ATL,14403710,29565510,3,nickeil alexander walker
Nicolas Batum,LAC,5881680,NA,1,nicolas batum
Nikola Jokić,DEN,59033114,59033114,2,nikola jokic
Nikola Jović,MIA,16200000,62400000,4,nikola jovic
Nikola Topić,OKC,5429760,5429760,2,nikola topic
Nikola Vučević,ORL,2449421,2449421,1,nikola vucevic
Nique Clifford,SAC,3263400,3263400,3,nique clifford
Noa Essengue,CHI,5701200,5701200,3,noa essengue
Noah Clowney,BRK,5414034,5414034,1,noah clowney
Noah Penda,ORL,2150917,2150917,3,noah penda
Nolan Traoré,BRK,4002000,4002000,3,nolan traore
Norman Powell,CHI,21500000,21500000,2,norman powell
Obi Toppin,IND,15000000,31025000,2,obi toppin
Ochai Agbaji,NYK,2449421,NA,1,ochai agbaji
OG Anunoby,NYK,42500000,87931034,3,og anunoby
Olivier-Maxence Prosper,MEM,3500172,2497812,2,olivier maxence prosper
Onyeka Okongwu,ATL,16120000,33000000,2,onyeka okongwu
Oscar Tshiebwe,HOU,2537526,2537526,1,oscar tshiebwe
Oso Ighodaro,PHO,2296271,NA,2,oso ighodaro
Ousmane Dieng,MIL,5750000,11500000,3,ousmane dieng
Pacôme Dadiet,NYK,2983680,2983680,2,pacome dadiet
Paolo Banchero,ORL,41500000,185920000,5,paolo banchero
Pascal Siakam,IND,48924624,101223360,2,pascal siakam
Pat Connaughton,CHO,3815861,3815861,1,pat connaughton
Patrick Williams,CHI,18000000,36000000,3,patrick williams
Paul George,BOS,54126380,54126380,2,paul george
Paul Reed,DET,5602689,NA,1,paul reed
Payton Pritchard,BOS,7767857,16071428,2,payton pritchard
Pelle Larsson,MIA,2296271,2296271,1,pelle larsson
Pete Nance,MIL,2537526,2537526,2,pete nance
Peyton Watson,CLE,20465116,64465116,4,peyton watson
P.J. Washington,DAL,19813044,88762440,4,pj washington
Precious Achiuwa,SAC,5477000,11227850,2,precious achiuwa
Quentin Grimes,LAL,13953489,43953489,4,quentin grimes
Quinten Post,MEM,8285714,8285714,3,quinten post
Rasheer Fleming,PHO,2150917,4676818,3,rasheer fleming
Reed Sheppard,HOU,11108880,11108880,2,reed sheppard
Ricky Rubio,CLE,424672,424672,1,ricky rubio
RJ Barrett,TOR,29616071,29616071,1,rj barrett
Rob Dillingham,CHI,6889320,6889320,2,rob dillingham
Robert Williams,POR,13968254,18968254,3,robert williams
Ron Harper Jr.,BOS,3150752,6459042,4,ron harper
Ron Holland,DET,9069600,9069600,2,ron holland
Royce O'Neale,CHO,10875000,22500000,2,royce oneale
Rudy Gobert,MIN,36500000,36500000,2,rudy gobert
Rui Hachimura,LAC,14000000,14000000,2,rui hachimura
Ryan Conwell,MIA,1357763,3652133,3,ryan conwell
Ryan Dunn,PHO,2784240,2784240,2,ryan dunn
Ryan Kalkbrenner,CHO,2411090,2411090,3,ryan kalkbrenner
Ryan Nembhard,ATL,2150917,2150917,1,ryan nembhard
Ryan Rollins,MIL,4000000,4000000,2,ryan rollins
Saddiq Bey,NOP,6440678,6440678,1,saddiq bey
Saint Thomas,PHI,1357763,NA,1,saint thomas
Sam Hauser,BOS,10848215,34955356,3,sam hauser
Sam Merrill,CLE,9160715,29517856,3,sam merrill
Sandro Mamukelashvili,LAL,13000000,38350000,4,sandro mamukelashvili
Santi Aldama,DAL,17007043,17007043,2,santi aldama
Scoot Henderson,POR,13585523,13585523,1,scoot henderson
Scottie Barnes,TOR,41754690,185576400,4,scottie barnes
Scotty Pippen Jr.,MEM,2461462,NA,2,scotty pippen
Sergio de Larrea,DAL,3182280,6523560,4,sergio de larrea
Shaedon Sharpe,POR,20089287,90000000,4,shaedon sharpe
Shai Gilgeous-Alexander,OKC,40806150,238462350,5,shai gilgeous alexander
Sidy Cissoko,POR,2497812,NA,1,sidy cissoko
Simone Fontecchio,MIA,2449421,2449421,1,simone fontecchio
Sion James,CHO,2411090,2411090,3,sion james
Spencer Jones,DEN,6000000,11750000,2,spencer jones
Stephen Curry,GSW,62587158,62587158,1,stephen curry
Stephon Castle,SAS,10015920,10015920,2,stephon castle
Steven Adams,HOU,13000000,24869566,2,steven adams
Svi Mykhailiuk,UTA,3850000,NA,2,svi mykhailiuk
Tacko Fall,PHI,1357763,NA,1,tacko fall
Taelon Peter,SAS,2185116,NA,1,taelon peter
Taj Gibson,NOP,148828,148828,1,taj gibson
Tari Eason,HOU,14051724,62951724,5,tari eason
Tarik Biberovic,DAL,3000000,3000000,2,tarik biberovic
Tarris Reed Jr.,SAS,3076920,6307440,4,tarris reed
Taurean Prince,DET,3815861,3815861,1,taurean prince
Taylor Hendricks,MEM,7805900,7805900,1,taylor hendricks
Terance Mann,BRK,15500000,31500000,2,terance mann
Terrence Shannon Jr.,MIN,2801640,2801640,2,terrence shannon
Thomas Bryant,CLE,2449421,2449421,1,thomas bryant
Thomas Sorber,OKC,4887720,4887720,3,thomas sorber
Tidjane Salaün,CHO,8237880,8237880,2,tidjane salaun
Tim Hardaway Jr.,MIA,6500000,6500000,1,tim hardaway
T.J. McConnell,IND,11000000,22800000,3,tj mcconnell
Tobias Harris,SAS,15044000,30840200,2,tobias harris
Tolu Smith,DET,2411090,2411090,1,tolu smith
Toumani Camara,POR,18080358,81000000,4,toumani camara
Trae Young,WAS,49488300,154403496,4,trae young
Trayce Jackson-Davis,TOR,2406205,2406205,1,trayce jackson davis
Tre Johnson,WAS,8649600,8649600,3,tre johnson
Tre Jones,CHI,8000000,8000000,2,tre jones
Tre Mann,WAS,8000000,8000000,2,tre mann
Trendon Watford,NOP,2449421,NA,1,trendon watford
Trevon Brazile,DEN,1357763,1357763,1,trevon brazile
Trey Lyles,MIN,2449421,2449421,1,trey lyles
Trey Murphy III,NOP,27000000,87000000,3,trey murphy
Tristan Da Silva,ORL,3991200,3991200,2,tristan da silva
Tucker DeVries,BOS,1357763,NA,1,tucker devries
Ty Jerome,MEM,9220050,9220050,2,ty jerome
Tyler Herro,MIL,33000000,33000000,1,tyler herro
Tyler Kolek,NYK,2296271,2296271,2,tyler kolek
Tyrese Haliburton,IND,48924624,156896208,3,tyrese haliburton
Tyrese Maxey,PHI,40770520,130746840,3,tyrese maxey
Tyrese Proctor,CLE,2150917,2150917,3,tyrese proctor
Tyus Jones,DEN,2449421,2449421,1,tyus jones
Vasilije Micić,MIL,666667,1333334,2,vasilije micic
Victor Wembanyama,SAS,16868246,211748246,6,victor wembanyama
Vít Krejčí,POR,2667944,NA,2,vit krejci
VJ Edgecombe,PHI,11663880,11663880,3,vj edgecombe
Walker Kessler,LAL,30232558,95232558,4,walker kessler
Walter Clayton,MEM,4190520,4190520,3,walter clayton
Wendell Carter Jr.,ORL,18102000,37652160,3,wendell carter
Will Baker,ATL,1357763,NA,1,will baker
Will Richard,GSW,2150917,2150917,3,will richard
Will Riley,WAS,3688320,3688320,3,will riley
Yang Hansen,POR,4643520,4643520,3,yang hansen
Yanic Konan Niederhäuser,LAC,2880960,2880960,3,yanic konan niederhauser
Yaxel Lendeborg,GSW,6096240,12497520,4,yaxel lendeborg
Yuki Kawamura,LAC,2449421,NA,1,yuki kawamura
Yves Missi,NOP,3512760,3512760,2,yves missi
